composition,formation_energy,band_gap,delta_e
Lu1,0.0125899016666704,0.0,0.0125899016666704
Tm1,0.00639353000000042,0.0,0.00639353000000042
Ne1,0.000137119999999998,11.91,0.000137119999999998
La1,0.131232160000001,0.0,0.131232160000001
Pr1,0.1260863925,0.0,0.1260863925
Kr1,0.002735225,7.487,0.002735225
V1,0.25849391,0.0,0.25849391
Rb1,0.000720370000000026,0.0,0.000720370000000026
Ta1,0.24225738,0.0,0.24225738
Al1,0.000788779999999711,0.0,0.000788779999999711
K1,0.000309365000000117,0.0,0.000309365000000117
Rh1,0.0,0.0,0.0
Er1,0.141404150000001,0.0,0.141404150000001
Zr1,0.0796308700000008,0.0,0.0796308700000008
Ho1,0.14287140666667,0.0,0.14287140666667
Tb1,0.14485669666667,0.0,0.14485669666667
P1,0.13220847690476,0.0,0.13220847690476
Ru1,0.11075173,0.0,0.11075173
Ir1,0.0,0.0,0.0
Gd1,0.146083992499999,0.0,0.146083992499999
Fe1,0.000355089999999336,0.0,0.000355089999999336
Ni1,0.0907972999999993,0.0,0.0907972999999993
Tc1,0.0685293750000007,0.0,0.0685293750000007
Re1,0.062048055,0.0,0.062048055
Pt1,0.0,0.0,0.0
Se1 Yb1,-2.106159375,2.083,-2.106159375
P1 Si1,0.106576353020031,0.0,0.106576353020031
Sm1 Zn1,-0.32744836875,0.0,-0.32744836875
C1 Si1,0.53431968375,0.0,0.53431968375
U1,0.274825495,0.0,0.274825495
Os1,0.13649345,0.0,0.13649345
Ni1 Zn1,-0.26207291,0.0,-0.26207291
Ag1 Ti1,0.0695339693568684,0.0,0.0695339693568684
Te1 Yb1,-1.67984976666667,1.62,-1.67984976666667
Ag1 Tm1,-0.35077449375,0.0,-0.35077449375
Te1 U1,-0.439347684166665,0.0,-0.439347684166665
Ag1 Y1,-0.34309354125,0.0,-0.34309354125
Bi1 Li1,-0.3874247075,0.0,-0.3874247075
B1 Tc1,0.144658812499999,0.0,0.144658812499999
Li1 Tl1,-0.2332024625,0.0,-0.2332024625
Ag1 Yb1,-0.42926611875,0.0,-0.42926611875
Pr1 Tl1,-0.39904937625,0.0,-0.39904937625
Lu1 Mg1,-0.0441488020833347,0.0,-0.0441488020833347
Au1 Mn1,-0.0137219018965506,0.0,-0.0137219018965506
Yb1 Zn1,-0.337538885,0.0,-0.337538885
Yb1,0.00552396999999982,0.0,0.00552396999999982
Eu1,0.0,0.0,0.0
Sb1,0.0433076850000003,0.0,0.0433076850000003
Sr1,0.00535496999999996,0.0,0.00535496999999996
